age,workclass,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,capital,workclass.missing,native-country.missing
22,Private,8,Never-married,Other-service,Not-in-family,White,Female,45,United-States,<=50K,0,0,0
31,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
46,Self-emp-not-inc,8,Married-spouse-absent,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,45,India,>50K,0,0,0
44,Private,10,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,0,0,0
29,Federal-gov,9,Never-married,Adm-clerical,Other-relative,White,Male,40,United-States,<=50K,0,0,0
44,Self-emp-inc,13,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
23,Local-gov,12,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,-1092,0,0
46,Private,8,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K,0,0,0
39,Local-gov,5,Divorced,Handlers-cleaners,Own-child,Black,Male,40,United-States,<=50K,0,0,0
59,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,42,United-States,<=50K,0,0,0
24,Private,8,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0,0,0
24,Private,6,Never-married,Other-service,Not-in-family,Black,Female,40,United-States,<=50K,0,0,0
32,Private,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,0,0,0
31,Private,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,40,United-States,<=50K,0,0,0
32,Private,8,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,0,0,0
36,Private,12,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,4787,0,0
47,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0,0,0
26,Private,12,Never-married,Protective-serv,Other-relative,White,Male,45,United-States,<=50K,0,0,0
58,State-gov,8,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0,0,0
32,Self-emp-not-inc,8,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,0,0,0
29,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,0,0,0
20,Private,9,Never-married,Sales,Not-in-family,White,Female,56,United-States,<=50K,0,0,0
61,Private,8,Widowed,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0,0,0
49,Self-emp-inc,9,Divorced,Craft-repair,Not-in-family,White,Male,55,United-States,<=50K,0,0,0
21,Private,0,Never-married,Farming-fishing,Not-in-family,White,Male,50,Mexico,<=50K,0,0,0
47,Private,8,Divorced,Sales,Not-in-family,White,Male,50,United-States,<=50K,0,0,0
54,Private,8,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,-1887,0,0
24,Private,12,Never-married,Prof-specialty,Own-child,White,Female,55,United-States,<=50K,0,0,0
45,Private,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0,0,0
39,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,47,United-States,>50K,-1848,0,0
41,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,Yugoslavia,<=50K,0,0,0
20,Private,9,Never-married,Priv-house-serv,Own-child,White,Female,20,United-States,<=50K,0,0,0
24,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
18,Private,9,Never-married,Other-service,Other-relative,White,Female,40,United-States,<=50K,0,0,0
51,State-gov,15,Divorced,Prof-specialty,Not-in-family,White,Male,30,United-States,<=50K,0,0,0
23,Private,12,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
24,Private,8,Never-married,Transport-moving,Unmarried,Black,Male,40,United-States,<=50K,0,0,0
38,Private,10,Divorced,Other-service,Not-in-family,White,Female,30,United-States,<=50K,0,0,0
42,?,6,Married-civ-spouse,?,Husband,White,Male,15,United-States,<=50K,0,1,0
41,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0,0,0
79,Private,3,Married-civ-spouse,Sales,Husband,White,Male,15,United-States,<=50K,0,0,0
58,Private,8,Divorced,Adm-clerical,Not-in-family,White,Male,55,United-States,<=50K,0,0,0
38,Private,9,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
31,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,55,Mexico,<=50K,0,0,0
41,Self-emp-not-inc,9,Widowed,Farming-fishing,Unmarried,White,Male,40,United-States,<=50K,0,0,0
45,Private,8,Divorced,Tech-support,Not-in-family,White,Female,50,United-States,>50K,0,0,0
61,Self-emp-not-inc,12,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,>50K,-2444,0,0
21,Private,9,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K,0,0,0
53,Private,12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,Japan,<=50K,0,0,0
37,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0,0,0
